"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"HE.25","/wiki/Brigitte_K%C3%B6lsch-he-15","/wiki/Brigitte_K%C3%B6lsch","Mitglied des Präsidiums","Andere Position",1999-04-07,2003-04-04,"he",15
"HE.26","/wiki/Manfred_Schaub-he-15","/wiki/Manfred_Schaub","Mitglied des Präsidiums","Andere Position",1999-04-07,2003-04-04,"he",15
"HE.27","/wiki/Tarek_Al-Wazir-he-15","/wiki/Tarek_Al-Wazir","Mitglied des Präsidiums","Andere Position",1999-04-07,2003-04-04,"he",15
"HE.28","/wiki/J%C3%B6rg-Uwe_Hahn-he-15","/wiki/J%C3%B6rg-Uwe_Hahn","Mitglied des Präsidiums","Andere Position",1999-04-07,2003-04-04,"he",15
"HE.29","/wiki/Norbert_Kartmann-he-16","/wiki/Norbert_Kartmann","Landtagspräsident/in","Landtagspräsident/in",2003-04-05,2008-04-04,"he",16
"HE.30","/wiki/Lothar_Quanz-he-16","/wiki/Lothar_Quanz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-04-05,2008-04-04,"he",16
"HE.31","/wiki/Frank_Lortz-he-16","/wiki/Frank_Lortz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-04-05,2008-04-04,"he",16
"HE.32","/wiki/Evelin_Sch%C3%B6nhut-Keil-he-16","/wiki/Evelin_Sch%C3%B6nhut-Keil","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-04-05,2005-08-31,"he",16
"HE.33","/wiki/Sarah_Sorge-he-16","/wiki/Sarah_Sorge","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2005-10-11,2008-04-04,"he",16
"HE.34","/wiki/Ruth_Wagner-he-16","/wiki/Ruth_Wagner","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-04-05,2008-04-04,"he",16
"HE.35","/wiki/Norbert_Kartmann-he-17","/wiki/Norbert_Kartmann","Landtagspräsident/in","Landtagspräsident/in",2008-04-05,2009-02-04,"he",17
"HE.36","/wiki/Lothar_Quanz-he-17","/wiki/Lothar_Quanz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-04-05,2009-02-04,"he",17
"HE.37","/wiki/Dieter_Posch-he-17","/wiki/Dieter_Posch","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-04-05,2009-02-04,"he",17
"HE.38","/wiki/Sarah_Sorge-he-17","/wiki/Sarah_Sorge","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-04-05,2009-02-04,"he",17
"HE.39","/wiki/Hermann_Schaus-he-17","/wiki/Hermann_Schaus","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-04-05,2009-02-04,"he",17
